studentID,studentName,studentSchool,studentGender,studentNationality, studentEmail
U1170534C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1110186C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1942749C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1865869C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1575459C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1662593C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1543016C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1227807C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1256698C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1388006C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1166010C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1102397C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1608248C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1215046C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1405060C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1707168C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1269249C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1547698C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1205141C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1451603C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1827610C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1932914C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1152204C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1150427C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1137433C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1706298C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1025810C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1355184C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1043118C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1799085C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1243812C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1190336C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1182431C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1500089C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1563527C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1523209C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1808256C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1040912C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1772338C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1361726C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1287886C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1011683C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1483266C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1790394C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1873774C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1131879C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1851573C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1034810C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1272614C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1999955C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1725315C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1580528C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1981256C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1664586C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1765771C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1012853C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1171409C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1548141C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1499445C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1100794C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1765402C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1248381C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1244671C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1430634C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1141154C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1466155C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1352270C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1227062C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1601413C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1465903C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1157779C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1544215C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1544273C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1596881C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1446886C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1660898C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1017001C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1654346C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1920078C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1349073C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1952046C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1239465C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1824258C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1878567C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1832312C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1296892C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1034012C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1409936C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1197369C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1904255C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1672412C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1514251C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1355756C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1320837C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1582527C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1314024C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1607227C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1038168C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1098626C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1262316C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1094137C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1822913C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1285176C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1866847C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1851837C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1770967C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1890926C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1873893C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1636065C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1419322C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1996774C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1310083C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1005843C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1198090C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1277216C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1726456C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1772277C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1710424C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1791054C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1947942C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1154605C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1338922C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1039088C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1129864C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1719659C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1055175C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1134643C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1494594C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1779471C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1985106C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1014918C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1199977C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1303531C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1634900C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1283359C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1920548C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1010907C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1041392C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1766447C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1164316C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1262703C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
U1865986C,Sarah Lim,SCSE,F,Malaysian,dummyemailforoodp@gmail.com
U1604486C,Hazel Wang,FASS,F,PRC,dummyemailforoodp@gmail.com
U1626391C,Jackson Quek,MAE,M,Singaporean,dummyemailforoodp@gmail.com
U1541917C,Joe Chan,EEE,M,Singaporean,dummyemailforoodp@gmail.com
U1877669C,Emma Miller,SPMS,F,American,dummyemailforoodp@gmail.com
U1733670C,Aaron Lu,NBS,M,Indonesian,dummyemailforoodp@gmail.com
U1993503C,Laura Ng,ACC,F,Singaporean,dummyemailforoodp@gmail.com
U1978453C,Priyaa Singh,NIE,F,Indian,dummyemailforoodp@gmail.com
U1254234C,That Mhu Khin,CEE,F,Burmese,dummyemailforoodp@gmail.com
U1379342C,Brandon Tiong,REP,M,Singaporean,dummyemailforoodp@gmail.com
